Optical Power Monitor
5.0.4590.776
Delimiter Used: 	 'tab'

Start of Measurement 	 1/26/2026 06:42:25
Sample Interval 	 1 s
	 PM101A 231023123	 PM101A 231023126
Type	 PM101A	 PM101A
Serialnumber	 M00982675	 M00982676
Sensor	 S120C	 S120C
SensorSerialnumber	 231023123	 231023126
Wavelength / Responsivity	 619 nm	 619 nm

			PM101A 231023123	 PM101A 231023126	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	Power (W)	
0	 1/26/2026	 06:42:25.539	2.4243E-06	1.0978E-07
1	 1/26/2026	 06:42:27.115	2.3797E-06	1.0781E-07
2	 1/26/2026	 06:42:28.122	2.3881E-06	1.0821E-07
3	 1/26/2026	 06:42:29.142	2.3916E-06	1.0833E-07
4	 1/26/2026	 06:42:30.163	2.3916E-06	1.0834E-07
5	 1/26/2026	 06:42:31.182	2.3955E-06	1.0854E-07
6	 1/26/2026	 06:42:32.204	2.3961E-06	1.086E-07
7	 1/26/2026	 06:42:33.223	2.4135E-06	1.0941E-07
8	 1/26/2026	 06:42:34.243	2.4175E-06	1.0961E-07
9	 1/26/2026	 06:42:35.263	2.4268E-06	1.1001E-07
10	 1/26/2026	 06:42:36.282	2.4351E-06	1.1041E-07
11	 1/26/2026	 06:42:37.302	2.4439E-06	1.1082E-07
12	 1/26/2026	 06:42:38.331	2.4646E-06	1.1176E-07
13	 1/26/2026	 06:42:39.332	2.4605E-06	1.1159E-07
14	 1/26/2026	 06:42:40.352	2.48E-06	1.1248E-07
15	 1/26/2026	 06:42:41.381	2.4927E-06	1.1305E-07
16	 1/26/2026	 06:42:42.410	2.5005E-06	1.134E-07
17	 1/26/2026	 06:42:43.415	2.5183E-06	1.1422E-07
18	 1/26/2026	 06:42:44.432	2.5332E-06	1.1491E-07
19	 1/26/2026	 06:42:45.441	2.5476E-06	1.1558E-07
20	 1/26/2026	 06:42:46.471	2.5469E-06	1.1556E-07
21	 1/26/2026	 06:42:47.485	2.5539E-06	1.1588E-07
22	 1/26/2026	 06:42:48.510	2.5546E-06	1.1592E-07
23	 1/26/2026	 06:42:49.537	2.558E-06	1.1609E-07
24	 1/26/2026	 06:42:50.539	2.565E-06	1.1641E-07
25	 1/26/2026	 06:42:51.569	2.5706E-06	1.1663E-07
26	 1/26/2026	 06:42:52.580	2.5785E-06	1.17E-07
27	 1/26/2026	 06:42:53.608	2.5776E-06	1.1693E-07
28	 1/26/2026	 06:42:54.625	2.5803E-06	1.1707E-07
29	 1/26/2026	 06:42:55.626	2.5798E-06	1.1706E-07
30	 1/26/2026	 06:42:56.636	2.5805E-06	1.1711E-07
31	 1/26/2026	 06:42:57.647	2.5823E-06	1.172E-07
32	 1/26/2026	 06:42:58.667	2.5808E-06	1.1711E-07
33	 1/26/2026	 06:42:59.677	2.5836E-06	1.1721E-07
34	 1/26/2026	 06:43:00.693	2.5829E-06	1.1722E-07
35	 1/26/2026	 06:43:01.704	2.5838E-06	1.1726E-07
36	 1/26/2026	 06:43:02.705	2.5815E-06	1.1716E-07
37	 1/26/2026	 06:43:03.714	2.5778E-06	1.1698E-07
38	 1/26/2026	 06:43:04.738	2.5766E-06	1.1691E-07
39	 1/26/2026	 06:43:05.743	2.5715E-06	1.1668E-07
40	 1/26/2026	 06:43:06.781	2.5694E-06	1.1657E-07
41	 1/26/2026	 06:43:07.811	2.5651E-06	1.1639E-07
42	 1/26/2026	 06:43:08.830	2.5615E-06	1.1621E-07
43	 1/26/2026	 06:43:09.850	2.5584E-06	1.161E-07
