# Dummy Data Generator
# Created on	2026-01-26 12:57:22.520240
# Device: Test Power Meter
#
# Parameters:
# P1_offset	0.5
# P2_offset	0.2
# Noise_level	0.01
#
#
#
#
#
# End of metadata
Index	Date	Time	Power1 (W)	Power2 (W)	Status
0	2026-01-26	12:57:22.520	0.999083	0.496769	OK
1	2026-01-26	12:57:22.620	1.049068	0.474403	OK
2	2026-01-26	12:57:22.720	1.024926	0.509379	OK
3	2026-01-26	12:57:22.820	0.907120	0.544507	OK
4	2026-01-26	12:57:22.920	1.052657	0.500471	OK
5	2026-01-26	12:57:23.020	1.082302	0.528816	OK
6	2026-01-26	12:57:23.120	0.964521	0.458197	OK
7	2026-01-26	12:57:23.220	0.984275	0.481168	OK
8	2026-01-26	12:57:23.320	1.055728	0.479879	OK
9	2026-01-26	12:57:23.420	1.049668	0.451874	OK
10	2026-01-26	12:57:23.520	0.954298	0.543154	OK
11	2026-01-26	12:57:23.620	0.997179	0.500472	OK
12	2026-01-26	12:57:23.720	0.908536	0.486796	OK
13	2026-01-26	12:57:23.820	1.091745	0.463682	OK
14	2026-01-26	12:57:23.920	1.067102	0.527452	OK
15	2026-01-26	12:57:24.020	0.931297	0.454366	OK
16	2026-01-26	12:57:24.120	0.939620	0.516563	OK
17	2026-01-26	12:57:24.220	1.049880	0.481246	OK
18	2026-01-26	12:57:24.320	0.935429	0.493422	OK
19	2026-01-26	12:57:24.420	0.945886	0.450603	OK
20	2026-01-26	12:57:24.520	1.057187	0.473212	OK
21	2026-01-26	12:57:24.620	1.098151	0.470211	OK
22	2026-01-26	12:57:24.720	0.947180	0.542636	OK
23	2026-01-26	12:57:24.820	0.952845	0.541806	OK
24	2026-01-26	12:57:24.920	1.092016	0.460326	OK
25	2026-01-26	12:57:25.020	0.954623	0.548187	OK
26	2026-01-26	12:57:25.120	1.077771	0.507155	OK
27	2026-01-26	12:57:25.220	1.033671	0.458236	OK
28	2026-01-26	12:57:25.320	0.947855	0.543750	OK
29	2026-01-26	12:57:25.420	1.073535	0.519750	OK
30	2026-01-26	12:57:25.520	1.023433	0.501760	OK
31	2026-01-26	12:57:25.620	1.018857	0.476368	OK
32	2026-01-26	12:57:25.720	0.953295	0.504252	OK
33	2026-01-26	12:57:25.820	1.024866	0.533389	OK
34	2026-01-26	12:57:25.920	1.036445	0.468371	OK
35	2026-01-26	12:57:26.020	1.081059	0.479131	OK
36	2026-01-26	12:57:26.120	1.024949	0.474465	OK
37	2026-01-26	12:57:26.220	1.072999	0.549347	OK
38	2026-01-26	12:57:26.320	0.984790	0.503879	OK
39	2026-01-26	12:57:26.420	0.995195	0.480150	OK
40	2026-01-26	12:57:26.520	1.087577	0.513724	OK
41	2026-01-26	12:57:26.620	0.931658	0.495717	OK
42	2026-01-26	12:57:26.720	1.058186	0.495847	OK
43	2026-01-26	12:57:26.820	1.002755	0.547251	OK
44	2026-01-26	12:57:26.920	0.976229	0.542704	OK
45	2026-01-26	12:57:27.020	1.098858	0.504171	OK
46	2026-01-26	12:57:27.120	1.028244	0.475847	OK
